CODI FARMACIA,NOM FARMACIA,CODI ABS,NOM ABS,CODI MUNICIPI,NOM MUNICIPI,CODI POSTAL,TIPUS VIA,NOM VIA,NUMERO VIA
F08000642,"ARIMANY BARCELO, MARINA",286,GRANOLLERS 3 - CENTRE EST,08096,GRANOLLERS,08401,PL,JOSEP MALUQUER i SALVADOR,11
F08000650,"TORRENTS ARNALDICH, NURIA",286,GRANOLLERS 3 - CENTRE EST,08096,GRANOLLERS,08402,CR,ANSELM CLAVE,31
F08000667,"VIÑAMATA NEBOT, ISABEL",286,GRANOLLERS 3 - CENTRE EST,08096,GRANOLLERS,08401,CR,MUSEU,20-22
F08000674,"PARERA BONANY, MARIA",286,GRANOLLERS 3 - CENTRE EST,08096,GRANOLLERS,08401,PL,DE L'OLI,3
F08000681,"BRETCHA FORNS, Ma. MARTA",286,GRANOLLERS 3 - CENTRE EST,08096,GRANOLLERS,08401,CR,JOAN PRIM,29
F08000699,"VILADES FREIXA, JOSEP",130,ALT BERGUEDÀ,08099,GUARDIOLA DE BERGUEDÀ,08694,CT,RIBES,1
F08000709,"BERTRAN GOMEZ, MONTSERRAT/CAMACHO PELAEZ, SARA",290,L'HOSPITALET DE LLOBREGAT 3 - COLLBLANC,08101,L'HOSPITALET DE LLOBREGAT,08904,CR,PROGRES,85
F08000716,"HUGUET HIGUERAS, LLUIS",290,L'HOSPITALET DE LLOBREGAT 3 - COLLBLANC,08101,L'HOSPITALET DE LLOBREGAT,08903,CT,COLLBLANC,50
F08000723,"PUJADAS SARET,A/PUJADAS PIULACHS,A/PUJADAS PIULACHS,X",291,L'HOSPITALET DE LLOBREGAT 4 TORRASSA,08101,L'HOSPITALET DE LLOBREGAT,08904,CR,LLOBREGAT,136
F08000730,"HUGUET TERMES, MARIA TERESA",288,L'HOSPITALET DE LLOBREGAT 1 - CENTRE,08101,L'HOSPITALET DE LLOBREGAT,08901,CR,MAJOR,34
F08000748,"ALAMOS LOPEZ, PILAR",291,L'HOSPITALET DE LLOBREGAT 4 TORRASSA,08101,L'HOSPITALET DE LLOBREGAT,08903,CR,DEL DOCTOR MARTI I JULIA,177
F08000755,"MORALES PUJOL, CARMEN",290,L'HOSPITALET DE LLOBREGAT 3 - COLLBLANC,08101,L'HOSPITALET DE LLOBREGAT,08903,CR,DR.MARTI JULIA,63
F08000762,"DASCA DE MOXO, M TERESA",288,L'HOSPITALET DE LLOBREGAT 1 - CENTRE,08101,L'HOSPITALET DE LLOBREGAT,08901,RB,MARINA,441
F08000770,"ROSSELLÓ DASCA, FIDEL",288,L'HOSPITALET DE LLOBREGAT 1 - CENTRE,08101,L'HOSPITALET DE LLOBREGAT,08901,CR,MAJOR,19
F08000787,"DE OLEZA RONCAL, M. PILAR",293,L'HOSPITALET DE LLOBREGAT 6-S.EULÀLIA S.,08101,L'HOSPITALET DE LLOBREGAT,08902,CR,APRESTADORA,80
F08000794,"DE GABRIEL BLASCO, CARLES",290,L'HOSPITALET DE LLOBREGAT 3 - COLLBLANC,08101,L'HOSPITALET DE LLOBREGAT,08904,CR,PUJOS,49
F08000804,"PUIG ROMEU, JOSEP MA.",290,L'HOSPITALET DE LLOBREGAT 3 - COLLBLANC,08101,L'HOSPITALET DE LLOBREGAT,08904,CR,PROGRES,39
F08000811,"BALSELLS TURMO,ELIA/BALSELLS TURMO,MARTA",292,L'HOSPITALET DE LLOBREGAT 5-S.EULÀLIA N.,08101,L'HOSPITALET DE LLOBREGAT,08902,CR,SANTA EULALIA,97
F08000829,"MORENO MURILLO, RAQUEL",289,L'HOSPITALET DE LLOBREGAT 2 -S.JOSEP,08101,L'HOSPITALET DE LLOBREGAT,08901,CR,ENRIC PRAT DE LA RIBA,161
F08000836,"MISERACHS SOLA, ANNA",371,IGUALADA-1,08102,IGUALADA,08700,RB,NOVA,1
F08000843,"BAUSILI LOPEZ-SAEZ, JUAN BOSCO",371,IGUALADA-1,08102,IGUALADA,08700,CR,BORN,9
F08000850,"GODO SOLER, JOSEP M./ GODÓ CLARAMUNT, JENNY",371,IGUALADA-1,08102,IGUALADA,08700,PL,CREU,7
F08000868,"SINGLA BARCELO, RAMON",372,IGUALADA-2,08102,IGUALADA,08700,AV,MESTRE MONTANER,23-26
F08000875,"TORELLO ENRICH, JORDI",371,IGUALADA-1,08102,IGUALADA,08700,PS,MOSSEN JACINT VERDAGUER,82
F08000890,"PERICH TOMAS, FRANCESC",376,ALT MOGENT,08106,LLINARS DEL VALLÈS,08450,CR,SANTIAGO RUSIÑOL,31-33
F08000900,"BUÑOL TORDERA, PERE",143,MALGRAT DE MAR,08110,MALGRAT DE MAR,08380,CR,MAR,80
F08000917,"VILADEVALL MASENS,S/VILADEVALL GARRIGA,N",143,MALGRAT DE MAR,08110,MALGRAT DE MAR,08380,CR,CARME,28
F08000924,"FERRER CHAMBO,V./FERRER CHAMBO,T.",144,MANLLEU,08112,MANLLEU,08560,PL,FRA BERNADI,18
F08000931,"AUTET GUBIERAS, ASSUMPTA",144,MANLLEU,08112,MANLLEU,08560,CR,DE LA FONT,15
F08000949,"ESPONA GRIFOL,MONTSERRAT",144,MANLLEU,08112,MANLLEU,08560,PS,SANT JOAN,115
F08000956,"TALAVERON PLANAS, CRISTOFOL",146,MANRESA 2,08113,MANRESA,08241,CR,ANGEL GUIMERA,23
F08000963,"COMAS RIU, MA.TERESA",145,MANRESA 1,08113,MANRESA,08241,PL,JOSEP ANSELM CLAVÉ,1
F08000970,"PAVIA PARDO, JAVIER",145,MANRESA 1,08113,MANRESA,08241,CT,CARDONA,19
F08000995,"BONSFILLS PONT, JOANA",147,MANRESA 3,08113,MANRESA,08242,CR,BALMES,41
F08001004,"OLTRA ROVIRA, M.ASSUMPTA",145,MANRESA 1,08113,MANRESA,08241,CR,MURALLA DEL CARME,16
F08001011,"ESTEVE CRUELLA, ANTONI",145,MANRESA 1,08113,MANRESA,08241,PL,PLANA DE L'OM,4
F08001029,"SOLÉ PASCUAL, ANNA.",145,MANRESA 1,08113,MANRESA,08241,PL,MAJOR,12
F08001036,"ANGUERA FARRAN, TERESA/CUCURULL MATEU, CRISTINA",146,MANRESA 2,08113,MANRESA,08242,PS,PERE III,1
F08001043,"GRAU VILALTA, LAIA",145,MANRESA 1,08113,MANRESA,08241,CT,VIC,59
F08001050,"ALIER CARRION, TERESA",145,MANRESA 1,08113,MANRESA,08241,PL,INFANTS,2
F08001068,"COMAS RIU, RICARD",145,MANRESA 1,08113,MANRESA,08241,CR,BORN,30
F08001075,"SALA AUVI, M.ANGELS",145,MANRESA 1,08113,MANRESA,08241,CR,SANT MIQUEL,10
F08001082,"ARROYO SAINZ, ROSA MARIA",148,MANRESA 4,08113,MANRESA,08241,PL,SANT IGNASI,13
F08001090,"TRAPE PUJOL, JOSEP",145,MANRESA 1,08113,MANRESA,08241,CR,SOBRERROCA,40
F08001100,"ROVIRA BERGER, LAIA",149,MARTORELL,08114,MARTORELL,08760,CR,PAU CLARIS,3
F08001117,"MASSANEDA ROVIRA, JOAQUIM",149,MARTORELL,08114,MARTORELL,08760,PL,MESTRE VICENÇ RODRIGUEZ,1
F08001124,"CARDONA TRULLAS, M. JOSEP",362,OCATA-TEIÀ,08118,EL MASNOU,08320,PS,PRAT DE LA RIBA,23
F08001131,"RIERA SERRAT, EMILI",361,EL MASNOU-ALELLA,08118,EL MASNOU,08320,CR,JOSEP LLIMONA,22
F08001149,"JIMENEZ TORT, SÍLVIA",360,MARTORELL RURAL,08119,MASQUEFA,08783,CR,MAJOR,1
F08001156,"PLANA BORRAS, JULIANA",152,MATARÓ 1,08121,MATARÓ,08302,PL,CUBA,4
F08001163,DE LA PEÑA VILLALAIN ROSA M,152,MATARÓ 1,08121,MATARÓ,08302,CR,RAMBLA,16
F08001170,"COLL FABRES, ENRIC",152,MATARÓ 1,08121,MATARÓ,08302,CR,SANT JOSEP,30
F08001188,"MONTANER PICART, MONTSERRAT",152,MATARÓ 1,08121,MATARÓ,08302,CR,LA RIERA,57
F08001195,"ROCA ALBERO, M. PILAR",153,MATARÓ 2,08121,MATARÓ,08301,CR,NOU,1-3
F08001205,"COLL PAGES, TERESA/DEL RIO DURAN, RAQUEL",153,MATARÓ 2,08121,MATARÓ,08301,CR,SANT CRISTOFOR,1
F08001212,"SPA CARVAJAL, RAMON",153,MATARÓ 2,08121,MATARÓ,08301,PL,SANTA MARIA,3
F08001220,"VILARDELL GARRIGA, A.L.",156,MATARÓ 5,08121,MATARÓ,08303,AV,PUIG I CADAFALCH,256
F08001237,"XUCLA GODIA, MARIANO.",160,MOLINS DE REI,08123,MOLINS DE REI,08750,CR,MAJOR,100
F08001244,"ROCA BRUNET, JUDIT.",160,MOLINS DE REI,08123,MOLINS DE REI,08750,CR,MAJOR,31
F08001251,"BERMUDEZ MUIÑO, SUSANA",160,MOLINS DE REI,08123,MOLINS DE REI,08750,PS,DE PI I MARGALL,11
F08001269,"ROVIROSA OLIVE, SALVADOR",348,MOLLET DEL VALLÈS-EST,08124,MOLLET DEL VALLÈS,08100,CR,BERENGUER III,64
F08001276,"AMADO DEL PINO, MARGARIDA",348,MOLLET DEL VALLÈS-EST,08124,MOLLET DEL VALLÈS,08100,PL,PRAT DE LA RIBA,17
F08001283,"RAMON TUGAS, MONTSERRAT",348,MOLLET DEL VALLÈS-EST,08124,MOLLET DEL VALLÈS,08100,PL,CATALUNYA,1
F08001290,"RELAT ROCA, JOSEP/RELAT PARDO, JOANA",302,MONTCADA I REIXAC,08125,MONTCADA I REIXAC,08110,CR,MAJOR,89
F08001300,"GUIX MESTRES, MONTSERRAT",302,MONTCADA I REIXAC,08125,MONTCADA I REIXAC,08110,CR,MAJOR,25
F08001318,VILA MOGAS JOAN/VILA NIETO ISABEL.,302,MONTCADA I REIXAC,08125,MONTCADA I REIXAC,08110,CR,JAUME I,26
F08001325,"CIRICI GASCH, MANUEL",319,MONTGAT,08126,MONTGAT,08390,RI,SANT JORDI,14
F08001332,"RUYRA PAGÈS, PERE.",098,MONTSERRAT,08127,MONISTROL DE MONTSERRAT,08691,CR,PONT,31
F08001340,"RUIZ PLANAS, MONTSERRAT/RAFOLS RUIZ, ELENA",176,PENEDÈS RURAL,08251,SANTA MARGARIDA I ELS MONJOS,08730,AV,CATALUNYA,66
F08001357,"ADRADOS DE MIGUEL,MA.CANDELA",159,MOIÀ,08138,MOIÀ,08180,AV,DE LA VILA,18
F08001364,"ROSADO CONEJO, LAIA",211,NAVARCLES - SANT FRUITÓS DE BAGES,08140,NAVARCLES,08270,CR,FORTIA SOLA,9
F08001371,"RIERA MARISTANY, MARTI",167,NAVÀS/BALSARENY,08141,NAVÀS,08670,CT,DE BERGA,59
F08001389,"BERENGUER AMENOS, ANNA / FLORENSA BERENGUER, ANNA M.",168,OLESA DE MONTSERRAT,08147,OLESA DE MONTSERRAT,08640,CR,JOSEP ANSELM CLAVE,114
F08001406,"REIXACH MORERA, M.ASSUMPTA",207,SANT CELONI,08259,SANTA MARIA DE PALAUTORDERA,08460,CR,MAJOR,44
F08001413,"HUGUET PLANES, ARACELI",367,PALLEJÀ,08157,PALLEJÀ,08780,CR,PRAT DE LA RIBA,26
F08001420,"BARJA GONZALEZ, M ISABEL",175,PARETS DEL VALLÈS,08159,PARETS DEL VALLÈS,08150,CR,RAVAL,26
F08001438,"RECASENS ISART, MIQUEL",338,PIERA,08161,PIERA,08784,CR,SANT CRISTOFOL,3
F08001445,"COSTA PERICH, FRANCESCA",325,PINEDA,08163,PINEDA DE MAR,08397,CR,DEL MAR,14-A
F08001460,ALVAREZ RODRIGUEZ/QUINTANA TOMAS,182,EL PRAT DE LLOBREGAT 1,08169,EL PRAT DE LLOBREGAT,08820,CR,MAJOR,12
F08001477,GARRIGA/GUIMERA,182,EL PRAT DE LLOBREGAT 1,08169,EL PRAT DE LLOBREGAT,08820,CR,CENTRE,15
F08001484,"FABRO YAGUE, M.MERCE",182,EL PRAT DE LLOBREGAT 1,08169,EL PRAT DE LLOBREGAT,08820,CR,FERRAN PUIG,8
F08001491,"VIVER FABREGÓ, FRANCESC XAVIER.",185,LLUÇANÈS,08171,PRATS DE LLUÇANÈS,08513,CR,MAJOR,35
F08001501,"PUEYO SALVADOR, JORDI",186,PREMIÀ DE MAR,08172,PREMIÀ DE MAR,08330,CR,RIERA DE PREMIA,16
F08001533,"IGLESIAS MANERO, ESTEVE.",128,BAIX BERGUEDÀ,08175,PUIG-REIG,08692,PL,DE LA CREU,7
F08001558,"SELVA MARTI, JOSEP M.",386,RIPOLLET-1,08180,RIPOLLET,08291,CR,CALVARI,3
F08001565,TORRENT CARDELUS/FELIU TORRENT,377,RODA DE TER,08183,RODA DE TER,08510,PL,MAJOR,7
F08001572,"SCHMID BOSCH, ELISENDA.",309,RUBÍ 1,08184,RUBÍ,08191,CR,RIERA,12-14
F08001580,"CARULLA BATALLE, MARC",310,RUBÍ 2,08184,RUBÍ,08191,PS,FRANCESC MACIA,23
F08001597,"COLOMINA BRUSAU, M.ROSA",344,SABADELL 4-A,08187,SABADELL,08206,CR,LUSITANIA,2
F08001607,"BAGAN TAPIOLES, MONTSERRAT",190,SABADELL 1A,08187,SABADELL,08202,CR,CARME,10
F08001614,"ARGELAGUET ARGEMI, SANTIAGO",190,SABADELL 1A,08187,SABADELL,08202,CR,SANT ANTONI MARIA CLARET,21
F08001621,"VINYES SANT, JOAN",190,SABADELL 1A,08187,SABADELL,08202,CR,Rambla,235
F08001639,"CRUSAFONT SABATE, ANNA M.",190,SABADELL 1A,08187,SABADELL,08201,CR,COLOM,13
F08001646,"TORRES COSTA,LOURDES/MATARRANZ TORRES,LAIA",192,SABADELL 2,08187,SABADELL,08208,CT,PRATS DE LLUÇANES,84-89
F08001653,"BLANCHART CAPDET, MIQUEL",190,SABADELL 1A,08187,SABADELL,08202,VI,MASSAGUE,40
F08001660,"GILI SEGURA, MARTA",190,SABADELL 1A,08187,SABADELL,08202,PL,DE L'ANGEL,12
F08001678,"GARRIGA MAJO, ANNA",190,SABADELL 1A,08187,SABADELL,08201,PS,PLAÇA MAJOR,29
F08001685,"PONS SAMARANCH, ISABEL",190,SABADELL 1A,08187,SABADELL,08201,PL,MARQUILLES,4
F08001692,"SEGALAS CARRERAS, M. MERCE",190,SABADELL 1A,08187,SABADELL,08201,CR,RAMBLA,26
F08001702,"ROSELL GRAS, MARIA",191,SABADELL 1B,08187,SABADELL,08203,AV,BARBERA,48
F08001710,"MORALES GUARCH, M.DOLORS",190,SABADELL 1A,08187,SABADELL,08202,CR,RAMBLA,165
F08001727,"LLOP TALAVERON, JORDI.J",190,SABADELL 1A,08187,SABADELL,08202,PS,PLAÇA MAJOR,58
F08001734,"GUERRERO BALLESTA, JOSEP M",200,SALLENT,08191,SALLENT,08650,CR,ANGEL GUIMERA,2
F08001741,"FRANCH MASFERRER,JOSEP",200,SALLENT,08191,SALLENT,08650,PL,DE LA PAU,3
F08001759,"ALBEROLA SOLANAS, YOLANDA",211,NAVARCLES - SANT FRUITÓS DE BAGES,08192,SANTPEDOR,08251,CR,ANGEL GUIMERA,2
F08001766,"CLAPES COLLANTES, AÏDA",311,SANT ADRIÀ DEL BESÒS 1,08194,SANT ADRIÀ DE BESÒS,08930,CR,MIQUEL SERVET,7
F08001773,"BOLOS CAUSADIAS, ESPERANÇA",311,SANT ADRIÀ DEL BESÒS 1,08194,SANT ADRIÀ DE BESÒS,08930,AV,CATALUNYA,92-94
F08001780,"GÜELL VERDAGUER, GEMMA",376,ALT MOGENT,08198,SANT ANTONI DE VILAMAJOR,08459,AV,ALFONS I,27
F08001798,"CALVO DELGADO, JOSE MARIA",202,SANT BOI DE LLOBREGAT 1,08200,SANT BOI DE LLOBREGAT,08830,CR,GENERAL O'DONNELL,59
F08001808,"PÉREZ GALINDO, LAURA",202,SANT BOI DE LLOBREGAT 1,08200,SANT BOI DE LLOBREGAT,08830,PL,AJUNTAMENT,9
F08001815,"VAQUER FONTANET, ANNA",202,SANT BOI DE LLOBREGAT 1,08200,SANT BOI DE LLOBREGAT,08830,CR,MAJOR,23
F08001822,"DRAPER ARENAS, M/DRAPER CASAS,MA. DEL MAR",207,SANT CELONI,08202,SANT CELONI,08470,CR,MAJOR,115
F08001830,"GONZALEZ GARCIA, M. EUGENIA",207,SANT CELONI,08202,SANT CELONI,08470,CR,MAJOR,125
F08001847,"ROS MORTE, ALBERT",388,SANT CUGAT DEL VALLÈS-1,08205,SANT CUGAT DEL VALLÈS,08172,CR,SANTA MARIA,27
F08001854,"RODRIGUEZ GARCIA, ESTELA.",388,SANT CUGAT DEL VALLÈS-1,08205,SANT CUGAT DEL VALLÈS,08172,CR,SANTIAGO RUSIÑOL,38
F08001861,"GONZALEZ PEREZ,E/GARCIA FERNANDEZ,S",089,CALDES DE MONTBUI,08210,SANT FELIU DE CODINES,08182,PL,DOCTOR ROBERT,8
F08001879,"PARES TEMPLER, SYLVIA",209,SANT FELIU DE LLOBREGAT 1,08211,SANT FELIU DE LLOBREGAT,08980,CR,JOAN BATLLORI,8
F08001886,"TAULE MARTI,JORDI/MARTI GARCIA,CRISTINA/MARTI GARCIA,MARTA",209,SANT FELIU DE LLOBREGAT 1,08211,SANT FELIU DE LLOBREGAT,08980,CT,LAUREA MIRO,177
F08001893,"CALM NOGUES, JOSEP Ma./CALM NOGUES,ROSALIA",210,SANT FELIU DE LLOBREGAT 2,08211,SANT FELIU DE LLOBREGAT,08980,CR,SANTA CREU,16
F08001903,"SANCHEZ SOLER, BENJAMIN/SANCHEZ SOLER, AUGUSTO",353,VILASSAR DE DALT,08214,VILASSAR DE DALT,08339,AV,SANTA MARIA,2
F08001910,"BRASO SERRA, JOSEFA",353,VILASSAR DE DALT,08214,VILASSAR DE DALT,08339,CR,MESTRA VILADROSA,16
F08001928,"MIRABENT SALA, ANNA",212,SANT HIPÒLIT DE VOLTREGÀ,08215,SANT HIPÒLIT DE VOLTREGÀ,08512,CR,BATLLE SERRALLONGA,8-10
F08001935,"PAGES PUJOL, MONTSERRAT",213,SANT JOAN DESPÍ 1,08217,SANT JOAN DESPÍ,08970,CR,BALTASAR D'ESPANYA,18-20
F08001942,"BASTE BARBERAN, MARTA/COMAS BASTE, ORIOL",271,VILASSAR DE MAR,08219,VILASSAR DE MAR,08340,CR,SANT JOSEP,85
F08001950,"JOVER- SANTIÑA,D/JOVER-SANTIÑA,P",271,VILASSAR DE MAR,08219,VILASSAR DE MAR,08340,CR,MONTSERRAT,1
F08001967,"ARDERIU SOLSONA, MANUELA",216,SANT JUST DESVERN,08221,SANT JUST DESVERN,08960,CR,BONAVISTA,61
F08001974,"CAUSIN TORRES, AURORA",093,CANET DE MAR,08235,SANT POL DE MAR,08395,CR,MANZANILLO,16
F08001981,"PAGANS GOMEZ, JOAN J",097,CASTELLAR DEL VALLÈS,08223,SANT LLORENÇ SAVALL,08212,AV,CATALUNYA,66
F08001999,"HERNANDEZ MASSANA, RAFEL",176,PENEDÈS RURAL,08273,SUBIRATS,08739,CR,PONENT,16
F08002015,"MIRET MESTRE, MA.JOSEP/MA.TERESA",393,RIBES-OLIVELLA,08231,SANT PERE DE RIBES,08810,CR,MARCER,1
F08002022,"BONFILL PLANAS, CLARA",218,SANT SADURNÍ D'ANOIA,08232,SANT PERE DE RIUDEBITLLES,08776,CR,MONTSERRAT,56-58
F08002030,"CERRILLO ALBAIGES, NURIA",218,SANT SADURNÍ D'ANOIA,08236,SANT QUINTÍ DE MEDIONA,08777,AV,MONTSERRAT,65
F08002047,"BESORA MOLINS,AGATA / BESORA MOLINS,ERIC",217,SANT QUIRZE DE BESORA,08237,SANT QUIRZE DE BESORA,08580,CR,PONT,45
F08002054,"NARANJO SALOM, ELISABET",218,SANT SADURNÍ D'ANOIA,08240,SANT SADURNÍ D'ANOIA,08770,CR,DOCTOR ESCAYOLA,4
