"","codi_farmacia","nom_farmacia","codi_abs","nom_abs","codi_municipi","nom_municipi","codi_postal","tipus_via.x","nom_via","num_via","idequipament","alies","nom","categoria","tipus_via.y","via","sufix_via","num","cpostal","poblacio","comarca","telefon1","telefon2","fax","utmx","utmy","longitud","latitud","email","web","data_modificacio","propietats","localitzacio"
"11","F08000480","Feliu Torrent, Immaculada",102,"CENTELLES",8067,"CENTELLES",8540,"CR","SOCOS","2",3622237,"Farmàcia Feliu Torrent, Immaculada","Farmàcia Feliu Torrent, Immaculada","Salut|Farmàcies||",""," CR SOCOS, 2",NA,NA,8540,"Centelles","Osona",938810182,NA,NA,435108.055,4627561.828,2.218924735,41.797263459,NA,NA,"2020-03-18T07:57:18.000Z",NA,"POINT (2.2189248 41.797264)"
"12","F08000530","Florensa Berenguer, Mireia",115,"ESPARRAGUERA",8076,"ESPARREGUERA",8292,"CR","GRAN","33",3622242,"Farmàcia Florensa Berenguer, Mireia","Farmàcia Florensa Berenguer, Mireia","Salut|Farmàcies||",""," CR GRAN, 33",NA,NA,8292,"Esparreguera","Baix Llobregat",937771189,NA,NA,405720.405,4599288.632,1.869717793,41.539701942,NA,NA,"2020-03-18T07:57:05.000Z",NA,"POINT (1.8697178 41.539703)"
"13","F08000554","Jene Borras, Francesc",117,"ESPLUGUES DE LLOBREGAT 2",8077,"ESPLUGUES DE LLOBREGAT",8950,"CR","ANGEL GUIMERA","9",3622244,"Farmàcia Jene Borras, Francesc","Farmàcia Jene Borras, Francesc","Salut|Farmàcies||",""," CR ÀNGEL GUIMERÀ, 9",NA,NA,8950,"Esplugues de Llobregat","Baix Llobregat",933718877,NA,NA,423610.232,4581053.456,2.086470491,41.377377226,NA,NA,"2020-03-18T07:57:04.000Z",NA,"POINT (2.0864706 41.377377)"
"14","F08000579","Comaposada Beringues, Josefina",121,"LA GARRIGA",8088,"LA GARRIGA",8530,"CR","CENTRE","29",3622245,"Farmàcia Comaposada Beringues, Josefina","Farmàcia Comaposada Beringues, Josefina","Salut|Farmàcies||",""," CR CENTRE, 29",NA,NA,8530,"Garriga, la","Vallès Oriental",938718314,NA,NA,440529.563,4615073.668,2.28542395,41.685215579,NA,NA,"2020-03-18T07:55:52.000Z",NA,"POINT (2.285424 41.685215)"
"15","F08000593","Muñoz Mendez, Daniel",123,"GAVÀ 2",8089,"GAVÀ",8850,"RB","JOAQUIM VAYREDA","24",3622247,"Farmàcia Muñoz Mendez, Daniel","Farmàcia Muñoz Mendez, Daniel","Salut|Farmàcies||",""," RB JOAQUIM VAYREDA, 00024",NA,NA,8850,"Gavà","Baix Llobregat",936620388,NA,NA,417023.895,4573049.003,2.008810488,41.304634117,NA,NA,"2020-03-18T07:57:04.000Z",NA,"POINT (2.0088105 41.304634)"
"16","F08000603","Rivero Moreno, Beatriz",123,"GAVÀ 2",8089,"GAVÀ",8850,"AV","DIAGONAL","7",3622248,"Farmàcia Rivero Moreno, Beatriz","Farmàcia Rivero Moreno, Beatriz","Salut|Farmàcies||",""," AV DIAGONAL, 7",NA,NA,8850,"Gavà","Baix Llobregat",936620144,NA,NA,416090.075,4573065.176,1.997654961,41.304683188,NA,NA,"2020-03-18T07:57:04.000Z",NA,"POINT (1.9976549 41.304684)"
"17","F08000667","Viñamata Nebot, Isabel",286,"GRANOLLERS 3 - CENTRE EST",8096,"GRANOLLERS",8401,"CR","MUSEU","20-22",3622254,"Farmàcia Viñamata Nebot, Isabel","Farmàcia Viñamata Nebot, Isabel","Salut|Farmàcies||",""," CR MUSEU, 20-22",NA,NA,8400,"Granollers","Vallès Oriental",938794018,NA,NA,440526.093,4606415.244,2.286243484,41.607233026,NA,NA,"2020-03-18T07:55:51.000Z",NA,"POINT (2.2862434 41.60723)"
"18","F08000699","Vilades Freixa, Josep",130,"ALT BERGUEDÀ",8099,"GUARDIOLA DE BERGUEDÀ",8694,"CT","RIBES","1",3622257,"Farmàcia Vilades Freixa, Josep","Farmàcia Vilades Freixa, Josep","Salut|Farmàcies||",""," CT DE RIBES, 1",NA,NA,8694,"Guardiola de Berguedà","Berguedà",938240006,NA,NA,407519.225,4676211.509,1.879236034,42.232613038,NA,NA,"2020-03-18T07:57:19.000Z",NA,"POINT (1.879236 42.232613)"
"19","F08000770","Rosselló Dasca, Fidel",288,"L'HOSPITALET DE LLOBREGAT 1 - CENTRE",8101,"L'HOSPITALET DE LLOBREGAT",8901,"CR","MAJOR","19",3622265,"Farmàcia Rosselló Dasca, Fidel","Farmàcia Rosselló Dasca, Fidel","Salut|Farmàcies||",""," CR MAJOR, 19",NA,NA,8901,"Hospitalet de Llobregat, l'","Barcelonès",933370430,NA,NA,424772.14,4579069.811,2.100609944,41.359620893,NA,NA,"2020-03-18T07:56:17.000Z",NA,"POINT (2.10061 41.35962)"
"20","F08000890","Perich Tomas, Francesc",376,"ALT MOGENT",8106,"LLINARS DEL VALLÈS",8450,"CR","SANTIAGO RUSIÑOL","31-33",3622276,"Farmàcia Perich Tomas, Francesc","Farmàcia Perich Tomas, Francesc","Salut|Farmàcies||",""," CR SANTIAGO RUSINYOL, 31-33",NA,NA,8450,"Llinars del Vallès","Vallès Oriental",938410094,NA,NA,450084.889,4609904.69,2.400662651,41.63931662,NA,NA,"2020-03-18T07:55:50.000Z",NA,"POINT (2.4006627 41.639317)"
"21","F08001100","Rovira Berger, Laia",149,"MARTORELL",8114,"MARTORELL",8760,"CR","PAU CLARIS","3",3622370,"Farmàcia Rovira Berger, Laia","Farmàcia Rovira Berger, Laia","Salut|Farmàcies||",""," CR PAU CLARIS, 3",NA,NA,8760,"Martorell","Baix Llobregat",937750239,NA,NA,410239.706,4592032.394,1.924970213,41.474873076,NA,NA,"2020-03-18T07:57:03.000Z",NA,"POINT (1.9249703 41.474873)"
"22","F08001117","Massaneda Rovira, Joaquim",149,"MARTORELL",8114,"MARTORELL",8760,"PL","MESTRE VICENÇ RODRIGUEZ","1",3622371,"Farmàcia Massaneda Rovira, Joaquim","Farmàcia Massaneda Rovira, Joaquim","Salut|Farmàcies||",""," CR MESTRE VICENS RODRIGUEZ, 1",NA,NA,8760,"Martorell","Baix Llobregat",937751897,NA,NA,409868.005,4591788.328,1.920555706,41.472633353,NA,NA,"2020-03-18T07:57:03.000Z",NA,"POINT (1.9205557 41.472633)"
"23","F08001124","Cardona Trullas, M. Josep",362,"OCATA-TEIÀ",8118,"EL MASNOU",8320,"PS","PRAT DE LA RIBA","23",3622372,"Farmàcia Cardona Trullas, M. Josep","Farmàcia Cardona Trullas, M. Josep","Salut|Farmàcies||",""," PS PRAT DE LA RIBA, 23",NA,NA,8320,"Masnou, el","Maresme",935550403,NA,NA,443315.149,4592209.29,2.321052888,41.479486463,NA,NA,"2020-03-18T07:56:10.000Z",NA,"POINT (2.3210528 41.479485)"
"24","F08001131","Riera Serrat, Emili",361,"EL MASNOU-ALELLA",8118,"EL MASNOU",8320,"CR","JOSEP LLIMONA","22",3622373,"Farmàcia Riera Serrat, Emili","Farmàcia Riera Serrat, Emili","Salut|Farmàcies||",""," CR JOSEP LLIMONA, 22",NA,NA,8320,"Masnou, el","Maresme",935550855,NA,NA,443000.283,4592119.407,2.317290306,41.478654582,NA,NA,"2020-03-18T07:56:10.000Z",NA,"POINT (2.3172903 41.478653)"
"25","F08001149","Jimenez Tort, Sílvia",360,"MARTORELL RURAL",8119,"MASQUEFA",8783,"CR","MAJOR","1",3622374,"Farmàcia Jimenez Tort, Sílvia","Farmàcia Jimenez Tort, Sílvia","Salut|Farmàcies||",""," CR MAJOR, 1",NA,NA,8783,"Masquefa","Anoia",937725301,NA,NA,401007.722,4595156.475,1.81391036,41.501920714,NA,NA,"2020-03-18T07:57:07.000Z",NA,"POINT (1.8139104 41.501923)"
"26","F08001156","Plana Borras, Juliana",152,"MATARÓ 1",8121,"MATARÓ",8302,"PL","CUBA","4",3622375,"Farmàcia Plana Borras, Juliana","Farmàcia Plana Borras, Juliana","Salut|Farmàcies||",""," PL CUBA, 4",NA,NA,8302,"Mataró","Maresme",937985550,NA,NA,453329.722,4598582.857,2.440503079,41.537538715,NA,NA,"2020-03-18T07:56:09.000Z",NA,"POINT (2.4405031 41.53754)"
"27","F08001188","Montaner Picart, Montserrat",152,"MATARÓ 1",8121,"MATARÓ",8302,"CR","LA RIERA","57",3622378,"Farmàcia Montaner Picart, Montserrat","Farmàcia Montaner Picart, Montserrat","Salut|Farmàcies||",""," CR LA RIERA, 00057",NA,NA,8302,"Mataró","Maresme",937901030,NA,NA,453658.596,4598860.129,2.444424158,41.540055202,NA,NA,"2020-03-18T07:56:09.000Z",NA,"POINT (2.4444242 41.540054)"
"28","F08001283","Ramon Tugas, Montserrat",348,"MOLLET DEL VALLÈS-EST",8124,"MOLLET DEL VALLÈS",8100,"PL","CATALUNYA","1",3622388,"Farmàcia Ramon Tugas, Montserrat","Farmàcia Ramon Tugas, Montserrat","Salut|Farmàcies||",""," PL CATALUNYA, 00001",NA,NA,8100,"Mollet del Vallès","Vallès Oriental",935930099,NA,NA,434344.111,4598771.77,2.212895054,41.53790764,NA,NA,"2020-03-18T07:55:48.000Z",NA,"POINT (2.2128952 41.537907)"
"29","F08001300","Guix Mestres, Montserrat",302,"MONTCADA I REIXAC",8125,"MONTCADA I REIXAC",8110,"CR","MAJOR","25",3622390,"Farmàcia Guix Mestres, Montserrat","Farmàcia Guix Mestres, Montserrat","Salut|Farmàcies||",""," CR MAJOR, 0025",NA,NA,8110,"Montcada i Reixac","Vallès Occidental",935641645,NA,NA,432211.757,4592968.908,2.187987523,41.485466196,NA,NA,"2020-03-18T07:56:06.000Z",NA,"POINT (2.1879876 41.485466)"
"30","F08001325","Cirici Gasch, Manuel",319,"MONTGAT",8126,"MONTGAT",8390,"RI","SANT JORDI","14",3622392,"Farmàcia Cirici Gasch, Manuel","Farmàcia Cirici Gasch, Manuel","Salut|Farmàcies||",""," CR RIERA SANT JORDI, 14",NA,NA,8390,"Montgat","Maresme",934691187,NA,NA,439144.834,4590467.126,2.271282117,41.463489528,NA,NA,"2020-03-18T07:56:08.000Z",NA,"POINT (2.2712822 41.46349)"
"31","F08001364","Rosado Conejo, Laia",211,"NAVARCLES - SANT FRUITÓS DE BAGES",8140,"NAVARCLES",8270,"CR","FORTIA SOLA","9",3622396,"Farmàcia Rosado Conejo, Laia","Farmàcia Rosado Conejo, Laia","Salut|Farmàcies||",""," CR FORTIA SOLA S/N, 0",NA,NA,8270,"Navarcles","Bages",938310033,NA,NA,408839.562,4622718,1.903533708,41.75105839,NA,NA,"2020-03-18T07:57:21.000Z",NA,"POINT (1.9035337 41.751057)"
"32","F08001413","Huguet Planes, Araceli",367,"PALLEJÀ",8157,"PALLEJÀ",8780,"CR","PRAT DE LA RIBA","26",3622400,"Farmàcia Huguet Planes, Araceli","Farmàcia Huguet Planes, Araceli","Salut|Farmàcies||",""," CR PRAT DE LA RIBA, 26",NA,NA,8780,"Pallejà","Baix Llobregat",936683559,NA,NA,416204.394,4585993.712,1.997234286,41.421133212,NA,NA,"2020-03-18T07:57:02.000Z",NA,"POINT (1.9972343 41.421135)"
"33","F08001438","Recasens Isart, Miquel",338,"PIERA",8161,"PIERA",8784,"CR","SANT CRISTOFOL","3",3622402,"Farmàcia Recasens Isart, Miquel","Farmàcia Recasens Isart, Miquel","Salut|Farmàcies||",""," CR SANT CRISTOFOL, 3",NA,NA,8784,"Piera","Anoia",937788232,NA,NA,395622.476,4597328.764,1.749024078,41.520799356,NA,NA,"2020-03-18T07:57:24.000Z",NA,"POINT (1.749024 41.520798)"
"34","F08001607","Bagan Tapioles, Montserrat",190,"SABADELL 1A",8187,"SABADELL",8202,"CR","CARME","10",3622415,"Farmàcia Bagan Tapioles, Montserrat","Farmàcia Bagan Tapioles, Montserrat","Salut|Farmàcies||",""," CR CARME, 00010",NA,NA,8202,"Sabadell","Vallès Occidental",937250303,NA,NA,425901.898,4600014.57,2.111544779,41.548363463,NA,NA,"2020-03-18T07:56:03.000Z",NA,"POINT (2.1115448 41.548363)"
"35","F08001660","Gili Segura, Marta",190,"SABADELL 1A",8187,"SABADELL",8202,"PL","DE L'ANGEL","12",3622501,"Farmàcia Gili Segura, Marta","Farmàcia Gili Segura, Marta","Salut|Farmàcies||",""," PL DE L'ANGEL, 12",NA,NA,8202,"Sabadell","Vallès Occidental",937251175,NA,NA,425655.019,4600115.281,2.10857252,41.549247586,NA,NA,"2020-03-18T07:56:03.000Z",NA,"POINT (2.1085725 41.549248)"
"36","F08001685","Pons Samaranch, Isabel",190,"SABADELL 1A",8187,"SABADELL",8201,"PL","MARQUILLES","4",3622503,"Farmàcia Pons Samaranch, Isabel","Farmàcia Pons Samaranch, Isabel","Salut|Farmàcies||",""," PL MARQUILLES, 4",NA,NA,8201,"Sabadell","Vallès Occidental",937256745,NA,NA,425420.115,4599771.088,2.105798969,41.546125819,NA,NA,"2020-03-18T07:56:02.000Z",NA,"POINT (2.105799 41.546127)"
"37","F08001702","Rosell Gras, Maria",191,"SABADELL 1B",8187,"SABADELL",8203,"AV","BARBERA","48",3622505,"Farmàcia Rosell Gras, Maria","Farmàcia Rosell Gras, Maria","Salut|Farmàcies||",""," AV BARBERÀ, 48",NA,NA,8203,"Sabadell","Vallès Occidental",937101343,NA,NA,426018.298,4598887.244,2.113079045,41.538221194,NA,NA,"2020-03-18T07:56:02.000Z",NA,"POINT (2.113079 41.53822)"
"38","F08001759","Alberola Solanas, Yolanda",211,"NAVARCLES - SANT FRUITÓS DE BAGES",8192,"SANTPEDOR",8251,"CR","ANGEL GUIMERA","2",3622510,"Farmàcia Alberola Solanas, Yolanda","Farmàcia Alberola Solanas, Yolanda","Salut|Farmàcies||",""," CR ANGEL GUIMERA, 00002",NA,NA,8251,"Santpedor","Bages",938320057,NA,NA,403567.378,4626453.509,1.839526593,41.784074746,NA,NA,"2020-03-18T07:57:21.000Z",NA,"POINT (1.8395265 41.784073)"
"39","F08001808","Pérez Galindo, Laura",202,"SANT BOI DE LLOBREGAT 1",8200,"SANT BOI DE LLOBREGAT",8830,"PL","AJUNTAMENT","9",3622515,"Farmàcia Pérez Galindo, Laura","Farmàcia Pérez Galindo, Laura","Salut|Farmàcies||",""," PL AJUNTAMENT, 9",NA,NA,8830,"Sant Boi de Llobregat","Baix Llobregat",936610019,NA,NA,419909.905,4577751.797,2.042660766,41.347281354,NA,NA,"2020-03-18T07:57:00.000Z",NA,"POINT (2.0426607 41.347282)"
"40","F08001815","Vaquer Fontanet, Anna",202,"SANT BOI DE LLOBREGAT 1",8200,"SANT BOI DE LLOBREGAT",8830,"CR","MAJOR","23",3622516,"Farmàcia Vaquer Fontanet, Anna","Farmàcia Vaquer Fontanet, Anna","Salut|Farmàcies||",""," CR MAJOR, 00023",NA,NA,8830,"Sant Boi de Llobregat","Baix Llobregat",936400006,NA,NA,419881.32,4577696.618,2.042326417,41.346781548,NA,NA,"2020-03-18T07:57:00.000Z",NA,"POINT (2.0423265 41.346783)"
"41","F08001879","Pares Templer, Sylvia",209,"SANT FELIU DE LLOBREGAT 1",8211,"SANT FELIU DE LLOBREGAT",8980,"CR","JOAN BATLLORI","8",3622522,"Farmàcia Pares Templer, Sylvia","Farmàcia Pares Templer, Sylvia","Salut|Farmàcies||",""," CR JOAN BATLLORI, 00008",NA,NA,8980,"Sant Feliu de Llobregat","Baix Llobregat",936668867,NA,NA,420127.566,4581575.109,2.04475868,41.381737288,NA,NA,"2020-03-18T07:56:59.000Z",NA,"POINT (2.0447588 41.381737)"
"42","F08001910","Braso Serra, Josefa",353,"VILASSAR DE DALT",8214,"VILASSAR DE DALT",8339,"CR","MESTRA VILADROSA","16",3622526,"Farmàcia Braso Serra, Josefa","Farmàcia Braso Serra, Josefa","Salut|Farmàcies||",""," CR MESTRE VILADROSA, 16",NA,NA,8339,"Vilassar de Dalt","Maresme",937530803,NA,NA,446501.2,4596420.215,2.358837719,41.517632722,NA,NA,"2020-03-18T07:56:07.000Z",NA,"POINT (2.3588376 41.51763)"
"43","F08001928","Mirabent Sala, Anna",212,"SANT HIPÒLIT DE VOLTREGÀ",8215,"SANT HIPÒLIT DE VOLTREGÀ",8512,"CR","BATLLE SERRALLONGA","8-10",3622527,"Farmàcia Mirabent Sala, Anna","Farmàcia Mirabent Sala, Anna","Salut|Farmàcies||",""," CR BATLLE SERRALLONGA, 8-10",NA,NA,8512,"Sant Hipòlit de Voltregà","Osona",938570080,NA,NA,436976.891,4651835.048,2.238824722,42.016019315,NA,NA,"2020-03-18T07:57:17.000Z",NA,"POINT (2.2388246 42.016018)"
"44","F08001935","Pages Pujol, Montserrat",213,"SANT JOAN DESPÍ 1",8217,"SANT JOAN DESPÍ",8970,"CR","BALTASAR D'ESPANYA","18-20",3622528,"Farmàcia Pages Pujol, Montserrat","Farmàcia Pages Pujol, Montserrat","Salut|Farmàcies||",""," CR BALTASAR D'ESPANYA, 18-20",NA,NA,8970,"Sant Joan Despí","Baix Llobregat",933730201,NA,NA,421315.807,4579987.289,2.059173798,41.367553775,NA,NA,"2020-03-18T07:56:59.000Z",NA,"POINT (2.0591738 41.367554)"
"45","F08001974","Causin Torres, Aurora",93,"CANET DE MAR",8235,"SANT POL DE MAR",8395,"CR","MANZANILLO","16",3622532,"Farmàcia Causin Torres, Aurora","Farmàcia Causin Torres, Aurora","Salut|Farmàcies||",""," CR MANZANILLO, 16",NA,NA,8395,"Sant Pol de Mar","Maresme",937600508,NA,NA,468572.598,4605635.011,2.622865156,41.601802378,NA,NA,"2020-03-18T07:57:30.000Z",NA,"POINT (2.6228652 41.601803)"
"46","F08002061","Mestre Climent, Raquel",218,"SANT SADURNÍ D'ANOIA",8240,"SANT SADURNÍ D'ANOIA",8770,"CR","HOSPITAL","2",3622540,"Farmàcia Mestre Climent, Raquel","Farmàcia Mestre Climent, Raquel","Salut|Farmàcies||",""," CR HOSPITAL, 2",NA,NA,8770,"Sant Sadurní d'Anoia","Alt Penedès",938912611,NA,NA,398621.781,4586568.203,1.786771617,41.424280815,NA,NA,"2020-03-18T07:57:08.000Z",NA,"POINT (1.7867717 41.424282)"
"47","F08002093","Tabar Prats, Maria",374,"SANT VICENÇ DELS HORTS-1",8263,"SANT VICENÇ DELS HORTS",8620,"CR","BARCELONA","64",3622543,"Farmàcia Tabar Prats, Maria","Farmàcia Tabar Prats, Maria","Salut|Farmàcies||",""," CR BARCELONA, 64",NA,NA,8620,"Sant Vicenç dels Horts","Baix Llobregat",936560156,NA,NA,417258,4583044.5,2.0102438,41.394681,NA,NA,"2020-03-18T07:56:58.000Z",NA,"POINT (2.010244 41.39468)"
"48","F08002103","Rifa Piñol, Margarida",254,"VALL DEL GES",8265,"SANT VICENÇ DE TORELLÓ",8571,"PL","CASTELL","7-8",3622544,"Farmàcia Rifa Piñol, Margarida","Farmàcia Rifa Piñol, Margarida","Salut|Farmàcies||",""," PL CASTELL, 7",NA,NA,8571,"Sant Vicenç de Torelló","Osona",938591216,NA,NA,439756.202,4657166.918,2.271841749,42.06425515,NA,NA,"2020-03-18T07:57:17.000Z",NA,"POINT (2.2718418 42.064255)"
"49","F08002167","Dordal Caralt, Ester",230,"SANTA PERPÈTUA DE LA MOGODA",8260,"SANTA PERPÈTUA DE MOGODA",8130,"CR","PARE RODES","10",3622549,"Farmàcia Dordal Caralt, Ester","Farmàcia Dordal Caralt, Ester","Salut|Farmàcies||",""," CR PARE RODES, 10",NA,NA,8130,"Santa Perpètua de Mogoda","Vallès Occidental",935600204,NA,NA,431712.585,4598525.653,2.181378426,41.535470748,NA,NA,"2020-03-18T07:55:57.000Z",NA,"POINT (2.1813784 41.53547)"
"50","F08002209","Font Soler, Ma. Pilar",235,"SITGES",8270,"SITGES",8870,"CR","SANT FRANCESC","40",3622620,"Farmàcia Font Soler, Ma. Pilar","Farmàcia Font Soler, Ma. Pilar","Salut|Farmàcies||",""," CR SANT FRANCESC, 40",NA,NA,8870,"Sitges","Garraf",938110033,NA,NA,400142.975,4565801.25,1.808385709,41.237449091,NA,NA,"2020-03-18T07:56:12.000Z",NA,"POINT (1.8083857 41.23745)"
"51","F08002248","Barfull Font, Anna",238,"SANTA EUGÈNIA DE BERGA",8278,"TARADELL",8552,"PS","DOMENEC SERT","14",3622623,"Farmàcia Barfull Font, Anna","Farmàcia Barfull Font, Anna","Salut|Farmàcies||",""," PG DOMENEC SERT, 14",NA,NA,8552,"Taradell","Osona",938800056,NA,NA,440787.524,4636152.349,2.286421666,41.875076068,NA,NA,"2020-03-18T07:57:16.000Z",NA,"POINT (2.2864218 41.875076)"
"52","F08002255","De Cacho Rivera, Jordi",247,"TERRASSA A",8279,"TERRASSA",8221,"RV","DE MONTSERRAT","48",3622624,"Farmàcia De Cacho Rivera, Jordi","Farmàcia De Cacho Rivera, Jordi","Salut|Farmàcies||",""," RV MONTSERRAT, 48",NA,NA,8221,"Terrassa","Vallès Occidental",937885380,NA,NA,417349.067,4601772.72,2.008766216,41.563359394,NA,NA,"2020-03-18T07:55:55.000Z",NA,"POINT (2.0087662 41.56336)"
"53","F08002304","Torrent Solans, Anna",247,"TERRASSA A",8279,"TERRASSA",8221,"PL","VELLA","2",3622629,"Farmàcia Torrent Solans, Anna","Farmàcia Torrent Solans, Anna","Salut|Farmàcies||",""," PL VELLA, 2",NA,NA,8221,"Terrassa","Vallès Occidental",937800910,NA,NA,417512.8,4601618.132,2.010750825,41.561984083,NA,NA,"2020-03-18T07:55:54.000Z",NA,"POINT (2.0107508 41.561985)"
"54","F08002390","Belmonte Castan, Cristina",251,"TERRASSA E",8279,"TERRASSA",8224,"RB","EGARA","289",3622637,"Farmàcia Belmonte Castan, Cristina","Farmàcia Belmonte Castan, Cristina","Salut|Farmàcies||",""," RB EGARA, 289",NA,NA,8224,"Terrassa","Vallès Occidental",937807524,NA,NA,417207.247,4601992.683,2.007035287,41.565325703,NA,NA,"2020-03-18T07:55:55.000Z",NA,"POINT (2.0070353 41.565327)"
"55","F08002417","Maqua Escanon, M. Pilar",319,"MONTGAT",8282,"TIANA",8391,"CR","LOLA ANGLADA","38",3622638,"Farmàcia Maqua Escanon, M. Pilar","Farmàcia Maqua Escanon, M. Pilar","Salut|Farmàcies||",""," CR LOLA ANGLADA, 38",NA,NA,8391,"Tiana","Maresme",933952706,NA,NA,438929.269,4592659.09,2.268479081,41.483215642,NA,NA,"2020-03-18T07:56:07.000Z",NA,"POINT (2.268479 41.483215)"
